,source,header,text,SDG
146,UN,,"In paragraph 107, Member States recognize the important contribution that promoting universal access to social services can make to consolidating and achieving development gains.",1
1605,UN,,"In target 12.5, Member States decided to ""by 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse"".",12
1371,UN,,The Incehon Declaration was adopted on the occasion of the World Education Forum  framework and goals.,4
775,UN,,Proportion of members and voting rights of developing countries in international organizations.,10
1344,paper,… registry in Pakistan to demonstrate utility of data for immunization programs and evidence-based decision making to achieve SDG-3: Insights from analysis of Big …,"Our use-cases demonstrate the use of EIR data for data-driven decision making. From January – December 2019, the monthly monitoring of program indicators helped increase the vaccinator attendance from 44% to 88%, while an 85 % increase in geographical coverage was observed in a polio-endemic super high-risk union council rather than discontinuing the activity due to high costs. During COVID-19 lockdown, the daily average number of child immunizations reduced from 16,649 to 4335 per day, a decline of 74% compared to 6 months preceding COVID-19 lockdown. ZM-EIR data is currently helping to shape the planning and implementation of critical strategies to mitigate the impact of the COVID-19 pandemic.",3
2014,UN,,"A growing emphasis is being placed on the Nexus approach to sustainable development, seeking to realize synergies from the links between development factors such as energy, health, education, water, food, gender, and economic growth.",10
30,UN,,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability.,12
2188,UN,,Attacks on civil society are also holding back development progress.,16
279,UN,,"At the sectoral level, clothing and textiles have remained stable at their peak of 8 and 5 per cent, respectively, since 2011.",17
1115,UN,,"As considered in Chapter 21, solid wastes include all domestic refuse and non-hazardous wastes such as commercial and institutional wastes, street sweepings and construction debris and, in some countries, human wastes.",12
1586,UN,,"Therefore, Future We Want highlights the importance to complement national efforts of developing countries by an enabling environment aimed at expanding the development opportunities of developing countries.",1
1980,UN,,"It represented the main outcome of the mid-term review of the International Decade of Natural Disaster Reduction  and established 10 principles for its strategy, a plan of action and a follow-up.",11
1002,UN,,"In 2002, the World Summit on Sustainable Development, in Johannesburg, addresses biological diversity in Chapter 4, paragraph 44, of the Johannesburg Plan of Implementation.",15
1537,UN,,"From CSD-6 to CSD-9, discussions at each session commenced with multi-stakeholder dialogues, consisting of opening statements from representatives of major groups on selected themes, followed by a dialogue with government representatives.",11
170,UN,,"The global adult literacy rate, for the population 15 years of age and older, was 86 per cent in 2018, while the youth literacy rate, for the population 15 to 24 years of age, was 92 per cent.",4
195,UN,,Protection of the atmosphere is a broad and multidimensional endeavor involving various sectors of economic activity.,13
2132,UN,,"In Goal 12 ""Ensure sustainable consumption and production patterns"", Member States also decided to, in target 12.3, ""by 2030, halve per capita global food waste at the retail and consumer levels and reduce food losses along production and supply chains, including post-harvest losses"", and reiterated in target 12.4 ""by 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment"".",12
1021,UN,,"Agenda 2030 and SDG 9, in particular, focus on the relevance of inclusive and sustainable industrial development as the basis for sustainable economic growth.",9
839,UN,,"By 2030, increase substantially the share of renewable energy in the global energy mix.",7
1483,UN,,Enhance policy coherence for sustainable development.,17
2181,UN,,"Eliminate all forms of violence against all women and girls in the public and private spheres, including trafficking and sexual and other types of exploitation.",5
194,UN,,"The Johannesburg Summit also endorses the target to achieve, by 2010, a significant reduction of the rate of biodiversity loss at global, regional and national levels as a contribution to poverty alleviation and to the benefit of all life on earth, which had some months earlier been adopted by the sixth meeting of the CBD Conference of Parties .",15
659,UN,,"In the SG' Synthesis Report, the SG proposed the setting up of an online, global platform to “map existing technology facilitation initiatives, needs and gaps, including in areas vital for sustainable development, including agriculture, cities and health”.",17
32,UN,,Proportion of population living in households with access to basic services.,1
1487,UN,,Average marine acidity  measured at agreed suite of representative sampling stations.,14
2133,UN,,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed.",2
760,UN,,Objectives are grouped under five themes: risk reduction; knowledge and information; governance; capacity-building and technical cooperation; and illegal international traffic.,12
1984,UN,,"Global carbon dioxide emissions from fuel combustion declined slightly in 2019 from a historic high of 33.5 billion tons in 2018, owing mainly to changes in power sources in advanced economies and milder weather conditions across the continents.",9
1217,paper,"Reaching those left behind: knowledge gaps, challenges, and approaches to achieving SDG 6 in high-income countries","Recognizing the need to respond to WASH challenges in high-income nations, organizers from the University of California Merced, the University of Colorado Boulder, the University of North Carolina at Chapel Hill .’ The goal of the session was to convene a network of researchers, practitioners, community representatives, and policymakers focused on WASH in high-income country contexts to identify areas of shared experience, challenges, and need. The results below summarize the major themes and priorities as outlined by participants of the session. Citations are provided to refer the reader to additional scholarship on each topic that emerged during the session but are not intended to indicate that the findings are the result of a systematic literature review by the authors. The subsequent discussion section synthesizes the session results into recommendations and action steps for future research, policy, and practice. Thus, this practical paper aims to inform high-income country governments, academics, water and wastewater professionals, and the broader WASH community on future priorities and collaborations needed to achieve universal, equitable WASH coverage in high-income countries.",6
1311,UN,,"Both the International Day of Forests, launched in 2013 and the International Year of Forest proclaimed for 2011 aimed at raising awareness on the importance of all types of forests and of trees outside forests.",15
378,UN,,"In this context, international trade is expected to play its role as a means of implementation for the achievement of the SDGs.",17
1032,UN,,"The pandemic is pushing millions of workers into unemployment, underemployment and working poverty.",1
814,UN,,"The international political response to climate change began at the Rio Earth Summit in 1992, where the ‘Rio Convention’ included the adoption of the UN Framework on Climate Change  convened in Paris, France, and adopted the Paris Agreement, a universal agreement which aims to keep a global temperature rise for this century well below 2 degrees Celsius, with the goal of driving efforts to limit the temperature rise to 1.5 degrees Celsius above pre-industrial levels.",13
1221,UN,,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months.",16
1606,UN,,"Before the COVID-19 pandemic, progress had been made in many health areas, including improving the health of mothers and children, increasing immunization coverage and reducing the incidence of communicable diseases, albeit not fast enough to meet the Goal 3 targets by 2030.",3
257,UN,,"While certain markets for illegal wildlife products are declining, such as the market for ivory, which has decreased 3.5-fold since 2013, other species are under increasing threat as offenders shift their focus to more lucrative products, such as pangolin scales.",15
552,UN,,"Through paragraph 33, the 2030 Agenda for Sustainable Development focuses on the linkage between sustainable management of the planet’s natural resources and social and economic development and reaffirms the determination of Member States to protect biodiversity, ecosystems and wildlife.",15
321,UN,,"Better urban planning and management are needed to make the world’s urban spaces more inclusive, safe, resilient and sustainable.",11
1999,UN,,"By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries.",17
784,paper,Reimagine Materials for Realizing SDG11: Sustainable Cities and Communities,"The UN predicts that 68% of the world population will live in urban areas by the year 2050, up from 55% at present. Cities contribute to 70% of the world economy with proportional energy consumption and consequent carbon emission. According to the World Bank, the cities will generate 3.4 billion tons of solid waste by 2050, up from 2 billion in 2016. i.e., cities and communities are the most vulnerable and the largest contributors to the climate change, therefore, enough reasons to concentrate on the 11th UN SDG of “sustainable cities and communities”. The SDG11 aims for affordable and sustainable housing and transport; mitigates extreme weathers and natural disasters, greening of public spaces, and resources efficiency; reduces the environmental impacts of cities; and enhances the resiliency of cities and communities. Undeniably, growing consumption is akin to urbanization and modern ways of living, thereby making cities as the largest contributors of carbon emission and environmental hazards. The solid material waste issue cannot be solved unless the waste is developed as resources, inevitably engaging the tools of materials circular economy. According to the Circularity Gap Report 2021 (Fraser et al.",11
318,UN,,The pandemic is expected to lead to a reversal in recent progress towards equity.,4
812,UN,,"As at 1 January 2020, representation by women in single or lower houses of national parliament reached 24.9 per cent, up slightly from 22.3 per cent in 2015.",5
1141,UN,,"Chap X identifies among the means of implementation the need to “support voluntary WTO-compatible market-based initiatives for the creation and expansion of domestic and international markets for environmentally friendly goods and services, including organic products, which maximize environmental and developmental benefits through, inter alia, capacity -building and technical assistance to developing countries”.",17
1103,UN,,"The Agenda point out that increases in global temperature, sea level rise, ocean acidification and other climate change impacts are seriously affecting coastal areas and low-lying coastal countries, including many least developed countries and small island developing States.",13
1994,UN,,Biodiversity is the subject of Paragraphs 197- 204 of Future We Want.,15
135,UN,,Proportion of women of reproductive age  who have their need for family planning satisfied with modern methods.,3
139,UN,,"By the end of 2020, the cumulative number of countries and territories that have signed or adopted bilateral investment treaties with the least developed countries and developing economies reached 121 and 183, respectively.",17
1149,UN,,"Every Woman Every Child can be described as an unprecedented global movement mobilizing and consolidating international and national action by governments, multilateral organizations, private sector and civil society to address the major health challenges facing women and children around the world.",3
857,UN,,"At its eleventh session, the Commission for Sustainable Development identified, for its 2014/2015 cycle,""Disaster management and vulnerability"" as a thematic cluster and adopted the CSD’s multi-year programme work for the period 2004-2017.",11
1502,UN,,"The Third International Conference on Small Island Developing States was held from 1 to 4 September 2014 in Apia, Samoa.",13
2071,UN,,"Urban planning, transport systems, water, sanitation, waste management, disaster risk reduction, access to information, education and capacity-building are all relevant issues to sustainable urban development.",11
1655,UN,,"In 2019, aid for trade commitments decreased by 6 per cent to $53 billion on the basis of current prices.",8
2147,UN,,Number of companies publishing sustainability reports.,12
91,UN,,"Furthermore, the need to “improve policy and decision -making at all levels” and in particular through an “improved collaboration” between science and policy-makers is stressed in paragraph 109 e.",16
1529,UN,,"The data from 2019 on financial soundness indicators indicated some improvement of overall loan performance, while the levels of capital, which is the main buffer for absorbing losses, remained high despite a slight decline.",10
154,UN,,International private sector investment flows to developing and transition economies in sectors relevant for the Goals were also on course to fall by about one third in 2020.,17
2173,UN,,"Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all.",8
1244,UN,,"The International Labour Organization was founded in 1919.Since its establishment, ILO has been committed to protect the most vulnerable, to fight against unemployment, promote human rights, establish democratic institutions and enhance the working lives of women and men around the world.",8
561,UN,,"Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable.",1
889,UN,,"JPOI provided multiple anchor points for sustainable transport, in the context of infrastructure, public transport systems, goods delivery networks, affordability, efficiency and convenience of transportation, as well as improving urban air quality and health, and reduce greenhouse gas emissions.",11
1236,UN,,"The Sustainable Development Goal to “End hunger, achieve food security and improved nutrition and promote sustainable agriculture”  recognizes the inter linkages among supporting sustainable agriculture, empowering small farmers, promoting gender equality, ending rural poverty, ensuring healthy lifestyles, tackling climate change, and other issues addressed within the set of 17 Sustainable Development Goals in the Post-2015 Development Agenda.",2
2063,UN,,An analysis by the World Meteorological Organization shows that the five-year average global temperature from 2013 to 2017 was also the highest on record.,13
297,UN,,"The Commission agreed on the need to further diversify energy supply by developing advanced, cleaner, more efficient, affordable and cost-effective energy technologies.",7
708,UN,,"In 2019, small but relatively more significant improvements were recorded for two important sectors, textiles and clothing, in the least developed countries and developing countries.",17
1421,UN,,Volume of remittances  as a proportion of total GDP.,17
66,UN,,"Direct economic loss in relation to global GDP, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters.",11
1432,UN,,"Participation rate in organized learning , by sex.",4
1297,UN,,"Convened by the United Nations Human Settlements Programme  is a non-legislative technical forum, hosted in a different city every two years, responsible for examining the most pressing issues currently facing at global level in the context of human settlements, including rapid urbanization and its impact on cities, communities, economies, climate change and policies.",11
684,UN,,"Despite the significant effort made, there may still be as many as 660 million people without access worldwide in 2030.",7
644,UN,,"The movement puts into action the Global Strategy for Women and Children’s Health, which presents a roadmap on how to enhance financing, strengthen policy and improve service on the ground for the most vulnerable women and children.",3
141,UN,,"Paragraphs 137-170 propose measures to reinforce institutional arrangements on sustainable development, at all levels, within the framework of Agenda 21, build[ing] on developments since the United Nations conference on Environment and Development and lead[ing] to the achievement of a number of objectives.",16
286,UN,,"Before the start of the COVID-19 pandemic in 2020, the average growth of the global economy had already slowed.",8
1557,UN,,"In Sustainable Development Goal 3 ""Ensure healthy lives and promote well being for all at all ages"", in target 3.9, Member States decided to ""by 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination"".",12
2095,UN,,"As a result of the COVID-19 response measures imposed in countries and territories throughout 2020, access to public transport in cities worldwide was significantly disrupted, from partial closures and reduced capacities to total closure of networks.",11
1051,UN,,Proportion of domestic budget funded by domestic taxes.,17
330,UN,,The SIDS Accelerated Modalities of Action  adopted at the Conference addresses priority areas for SIDS and calls for urgent actions and support for SIDS’ efforts to achieve their sustainable development.,13
1264,UN,,The Conference included plenary meetings and six interactive multi-stakeholder round tables on the six major thematic areas of the Monterrey Consensus.,17
1748,paper,Gender Reporting Guidelines in Italian Public Universities for Assessing SDG 5 in the International Context,"Gender equity is a topic of significant interest for universities, who are called upon to plan strategies and measures to increase gender equality in line with international policies. With a qualitative methodology based on manual content analysis, the paper aims to understand whether and how this report could positively assess a university’s actions for reaching SDG 5. This study’s results show that the CRUI guidelines can be used by universities to disclose gender policies that may be of interest to stakeholders, and can also be synthesized in THE ranking, increasing university visibility. The present study could be helpful for universities, regulatory bodies, policy makers, and agency rankings to help them identify the most relevant gender items on which to focus their attention.",5
1165,UN,,The Zero Hunger Challenge has since garnered widespread support from many member States and other entities.,2
581,UN,,"Disparities in education along the lines of gender, urban-rural location and other dimensions still run deep, and more investments in education infrastructure are required, particularly in LDCs.",4
463,UN,,This unprecedented situation is compounded by pollution in large lakes and the persistent loss and degradation of wetlands and freshwater biodiversity.,6
1304,UN,,"After a prolonged decline, world hunger appears to be on the rise again.",2
450,UN,,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate.",6
1554,UN,,"The rate of participation in organized learning one year before the official age of entry into primary education rose steadily in the years before the pandemic, from 65 per cent in 2010 to 73 per cent in 2019, but with variation among countries and territories ranging from 12 per cent to nearly 100 per cent.",4
421,UN,,The ' Water for Life' Decade has been taking place in order to promote efforts to fulfill international commitments made on water and water-related issues by 2015.,6
1080,UN,,"The enormity and complexity of the poverty issue could endanger the social fabric, undermine economic development and the environment, and threaten political stability in many countries.",1
1662,UN,,Stronger efforts are needed to build resilience and limit climate-related hazards and natural disasters.,13
105,UN,,"The global neonatal mortality rate fell from 30 deaths to 17 per 1,000 live births in the same period.",3
25,paper,In pursuit of Sustainable Development Goal (SDG) number 7: Will biofuels be reliable?,"Driven by the desire to mitigate climate change and reduce overdependence on fossil fuels, biofuels have been actively pursued in recent years because they are believed to be inherently environmentally friendly. In the past few years, however, critics have objected to the basis for which it should be adopted due to potential negative trade-offs. Sustainable Development Goals number seven seeks to substantially increase contribution of renewable energy to global energy supply, as well as double the rate of improvement in efficiency of energy. Biofuels are likely to play a key role in the pursuit of these goals being one of the most advanced alternative energy sources. This review assesses the potential of biofuels to contribute to the set SDGs by presenting an appraisal of their development over the years. It sheds light on some main arguments surrounding biofuels from the perspective of proponents and critics alike. Even though biofuels have a great potential in aiding climate change mitigation, its large scale adoption is regarded as problematic in its current state. This is because of its potential negative trade-offs in terms of land use change and emissions, especially for first and second generation biofuels. However, a combination of plant biology, carbon capture techniques and novel bioconversion processes provided by third and fourth generation biofuel technologies have set open an era of fuels that will be abundant, energy efficient and clean to support the seventh SDG.",7
1640,UN,,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan.,6
1740,UN,,"Increase the access of small-scale industrial and other enterprises, in particular in developing countries, to financial services, including affordable credit, and their integration into value chains and markets.",9
1534,UN,,"Unintentional poisonings were responsible for more than 84,000 deaths in 2019.",3
1955,UN,,"Progress in that regard was less encouraging for young workers: in 2019, 12.8 per cent of the world’s young workers lived in extreme poverty, compared with only 6 per cent of all adult workers.",1
1625,UN,,"They also called for the development of environmentally sound disposal facilities, including technology to convert waste into energy.",12
1250,UN,,"The Future We Want reaffirms, respectively in paragraph 19,“the continued need for the full and effective participation of all countries, in particular developing countries, in global decision-making” and in paragraph 31 the “commitments to ensure women's equal rights, access and opportunities for participation and leadership in the economy, society and political decision-making”.",16
908,UN,,"At the end of 2019, 79.5 million people had been forcibly displaced worldwide, equivalent to 1 per cent of the global population.",16
1626,UN,,"The Lima Declaration acknowledges the importance of industrialization as a driver of development.Industry increases productivity, job creation and generates income, thereby contributing to poverty eradication and addressing other development goals, as well as providing opportunities for social inclusion, including gender equality, empowering women and girls and creating decent employment for the youth.",9
1118,UN,,"Extreme poverty and hunger are predominantly rural, with smallholder farmers and their families making up a very significant proportion of the poor and hungry.",2
88,UN,,"In 1993 the World Water Day was designated on 22 March by the UN General Assembly, and in 2013 World Toilet Day on 19 November.",6
1711,UN,,The International Year of Deserts and Desertification was launched to highlight the threat represented by the advancing of deserts and the loss it may cause to biodiversity.,15
1982,UN,,"Prior to the 2030 Agenda and the Future We Want, paragraph 38 under Chapter IV- “Protecting and managing the natural resource base of economic and social development” of the Johannesburg Plan of Implementation expresses the concern of Member States for the changes occurred in the Earth’s climate and the adverse effects that these changes have on humankind.",13
1764,UN,,"Enhance international support for implementing effective and targeted capacity-building in developing countries to support national plans to implement all the sustainable development goals, including through North-South, South-South and triangular cooperation.",17
360,UN,,"In Goal 12 ""Ensure sustainable consumption and production patterns"", target 12.4, Member States reiterated to ""by 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment"".",12
489,UN,,"Building upon the 2014 Prototype report,the current Report responds to the Rio+20 mandate to contribute to strengthening the science-policy interface .",17
842,paper,SDG 8 and Elimination of Child Labour in the Cocoa Industry in Ghana: Can WTO Law and Private Sector Responsible Business Initiatives Help?,The issue of child labour in the cocoa industries of producer countries like Ghana has come to the forefront of the discourse on trade related problems in international trade and how the World Trade Organisation as substitutes or complements to the WTO rules and state action.,8
1546,UN,,"In accordance with its multi-year programme of work, CSD-8 in 2000 reviewed integrated planning and management of land resources as its sectoral theme.",15
161,UN,,"Proportion of informal employment in non‑agriculture employment, by sex.",8
104,UN,,Proportion of the population reporting having personally felt discriminated against or harassed within the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law.,10
1742,UN,,The crisis poses unprecedented challenges for global value chains by disrupting both the supply of and the demand for goods.,9
1146,UN,,In 2008 the International Year of Sanitation was declared and on 28 July 2010 the human right to water and sanitation was explicitly recognized by the United Nations General Assembly through Resolution 64/292.,6
907,UN,,"In addition, if Sustainable Development Goals 7, 13 and related Goals are to be met, much higher levels of ambition are required with regard to renewable energy, including transportation and heating.",7
605,UN,,"Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry’s share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries.",9
331,UN,,"Target 11 reiterates the commitment taken both in the Istanbul Programme of Action and in the Addis Ababa Action Agenda to double, by 2020, the least developed countries’ share of global exports.",17
590,UN,,"In the Future We Want, Member States reaffirm that climate change is one of the greatest challenges of the present and express their concern about the continuous rising of the emissions of greenhouse gases and about the vulnerability of all countries, particularly developing countries,to the adverse impacts of climate change.",13
758,paper,Issues related to UN SDG (2) on food security in the republic of Burundi,"In the UN's humanitarian response plan, the Food and Agriculture Organization calls on countries to: support small-scale farmers so that they can increase food production. At the same time, among the 17 goals to transform our world, one of the most important is goal 2: Eliminate hunger, ensure food security and improve nutrition, and promote sustainable agriculture. The main goal of the development of the main sector of agriculture – aquaculture is to provide the population with a variety of safe and environmentally friendly fish food products available to people with different income levels, as well as to meet the needs of neighboring industries in technical products. The fisheries sector plays an important role in the economy of any country. In Africa, aquaculture develops with varying degrees of intensity depending on the region. This review article examines the prospects for the development of sustainable aquaculture in the East African Republic of Burundi, a landlocked developing country that has its own history and traditions in aquaculture. The results of the study of soil characteristics of pond reservoirs that are of fishing significance in the country determined the further development of commercial cultivation and promising aquaculture facilities.",2
1724,UN,,It also identifies as priority the need for maintaining and improving the capacity of the higher potential agricultural lands to support an expanding population.,2
192,UN,,"However, many young children are unable to attend early education because of the pandemic and so are now entirely reliant on their caregivers for nurturing care.",4
1794,UN,,"By 2030, ensure that all learners acquire the knowledge and skills needed to promote sustainable development, including, among others, through education for sustainable development and sustainable lifestyles, human rights, gender equality, promotion of a culture of peace and non-violence, global citizenship and appreciation of cultural diversity and of culture’s contribution to sustainable development.",4
1814,UN,,Proportion of population subjected to  sexual violence in the previous 12 months.,16
295,UN,,"Although the world experienced a remarkable drop in carbon dioxide emissions as a result of national lockdowns and travel restrictions in 2020, most economies are likely to resume their usual levels of carbon dioxide emissions as soon as the lockdown measures are lifted.",9
119,paper,Balancing africanisation with community education: implication for achieving the SDG 11: sustainable cities and communities,"As we begin to witness different innovations and challenges that the 21st century has brought into different sectors including education, some African scholars are already advocating for an education system characterised with African philosophy and African values. Such education is believed by many as the one capable of upholding the indigenous knowledge systems that the people of Africa are known for. The paper amplified the importance of community education in the current advocacy for africanisation of education for sustainable development. The alarming rate of poverty, unemployment, crime, and environmental issues being experienced in most African nations has exposed the weakness of the Western education in addressing the present challenges of the continent, thus, the need to revisit the indigenous forms of community education which were prevalent in Africa before the advent of Western education. ‘Sustainable Cities and Communities’ is the number 11 of the 17 goals recently set by the United Nations in September 2015 to address a broad range of sustainable development issues in Africa and, other continents of the World. The paper posits a proposition for the restructuring of education, both formal and non-formal, in the context of communities in Africa to make the citizens responsible and responsive to both current and future societal needs and demands.",11
1185,paper,Using the iSDG Model as a Policy-Making Guiding Tool to Achieve SDG 4 in Developing Countries: A Case Study on Pakistan,"System dynamics models have become reliable tools in developing and accessing robust education policies, particularly through their capacity to capture and quantify complexity and cross-sectoral dynamics. In Pakistan, addressing the multi-faceted education sector has been a challenging task for policy-makers and the country has been underperforming in its progress to achieve SDG 4. By using SD models with a track-record of real-life application, such as the T21 and iSDG models reviewed in this paper, the country has the opportunity to advance a comprehensive development agenda and simultaneously evaluate and improve the efficiency of its implementation. Future research on the use of SD models for education in Pakistan that would address data inconsistencies, locally tailored methods for participatory approaches in the modelling process and conceptual frameworks on improved model structures can contribute to the development of a valuable policy-guiding tool. Such efforts would not only enable Pakistan to move towards achieving its SDG 4 targets, but it would also allow policy synergies to help the country in implementing its overall SDG agenda.",4
1998,UN,,"Therefore, the Agenda identifies as action items those able to address the primary health needs of the world's population.",3
2028,UN,,The sustainable management of fish stocks remains critical to ensuring that fisheries continue to generate economic growth and support equitable development.,14
651,UN,,"In the least developed countries, more than two thirds of primary schools do not have access to electricity, with even lower rates of Internet access and computer availability for pedagogical purposes in schools.",4
1730,UN,,Number of countries that have national urban policies or regional development plans that  increase local fiscal space.,11
716,UN,,"The rate of new countries and territories signing such treaties has slowed in recent years, following a rapid increase in the 1990s.",17
693,UN,,"However, progress is being made in regulations to promote public access to information, albeit slowly, and in strengthening institutions upholding human rights at the national level.",16
617,UN,,Chapter 4 contains two programmes areas respectively focusing on unsustainable patterns of production and consumption and on developing national policies and strategies to encourage changes in unsustainable consumption patterns.,12
1751,UN,,Many regions of the world continue to suffer untold horrors as a result of armed conflict or other forms of violence that occur within societies and at the domestic level.,16
160,UN,,Annual growth rate of real GDP per employed person.,8
1479,UN,,"Several chapters, as for example Chapter 9 on Atmosphere and Chapter 7 on Human Settlements recognize Transport as a key development issue.",11
1059,UN,,UN-Oceans has met on an annual basis since 2005.,14
509,UN,,"Enhance global macroeconomic stability, including through policy coordination and policy coherence.",17
1906,UN,,"By 2020, sustainably manage and protect marine and coastal ecosystems to avoid significant adverse impacts, including by strengthening their resilience, and take action for their restoration in order to achieve healthy and productive oceans.",14
2072,UN,,"At the same time, the Agenda identifies, among its objectives, the strengthening of forest-related national institutions, the enhancement of the scope and effectiveness of activities related to the management, conservation and sustainable development of forests, as well as the sustainable utilization and production of forests' goods and services in both developed and developing countries.The Agenda also mentions the importance to improve human, technical and professional skills, as well as expertise and capabilities to effectively formulate and implement policies, plans, programmes, research and projects on management, conservation and sustainable development of all types of forests, forest-based resources and forest lands inclusive, as well as other areas from which forest benefits can be derived.",15
1394,UN,,"In its Chapter 6 - Protecting and Promoting Human Health, Agenda 21 recognizes the intimate interconnection between health and development.",3
1231,UN,,The General Assembly adopted an outcome document entitled “Further initiatives for social development” consisting of a political declaration reaffirming the Copenhagen Declaration on Social Development and Programme of Action of the World Summit for Social Development; a review and assessment of the implementation of the outcome of the Summit; and proposals for further initiatives for social development.,1
603,UN,,CSD-17 negotiated policy recommendations for most of the issues under discussion.,2
410,UN,,"Hazardous waste is frequently intermixed with other waste, posing particular management challenges.",12
860,UN,,"The survival of many societies, and of the biological support systems of the planet, is at risk”.",13
2089,UN,,"In its Paragraphs 146-157, the outcome document of the Rio +20 Conference expresses its concerns about labor market conditions and the widespread deficits of available decent work opportunities.",8
1911,UN,,"Promote the development, transfer, dissemination and diffusion of environmentally sound technologies to developing countries on favourable terms, including on concessional and preferential terms, as mutually agreed.",17
1860,UN,,"Proportion and number of children aged 5‑17 years engaged in child labour, by sex and age.",8
559,UN,,"Furthermore, crucial aspects of decent work are broadly rooted in the targets of many of the other 16 goals.",8
224,UN,,"Number of commercial bank branches and automated teller machines  per 100,000 adults.",8
2179,UN,,"Member States also commit to ""take into account road safety as part of our efforts to achieve sustainable development"".",11
1563,UN,,"The report informed the negotiations on the third international conference on financing for development, held in July 2015 in Addis Ababa.",17
729,UN,,Sustainable Development Goal 9 incorporates inclusive and sustainable industrialization and fostering innovation with resilient infrastructure and innovation.,9
1347,paper,Equitable and quality educational opportunities for Hong Kong's ethnic minorities: The challenges to achieve SDG4,"Current educational development discourse is characterized by the Sustainable Development Goal Four that aims to “ensure inclusive, equitable and quality education and lifelong learning opportunities for all”. This paper explores the challenges of achieving SDG4 for Hong Kong in regard to ensuring equitable and quality educational opportunities for its ethnic minority young people, with a particular focus on equality in educational outcomes. The paper argues that school failure of ethnic minority students in Hong Kong is an educational outcome issue which poses significant challenges for Hong Kong to achieve SDG4. In addition to the Chinese language factor, there are many other interrelated factors at students’ individual, family, school and community level contributing to ethnic minority students’ school failure in Hong Kong. Unless all of them are addressed, it will be hard to achieve any marked success against school failure. Above all, an education policy is needed that recognizes and responds to cultural diversity to support Hong Kong’s ethnic minority students.",4
734,UN,,"Whereas, paragraph 86 describes the importance of consolidating the reform process of existing financial systems in order to “provide for the effective participation of developing countries in the international economic decision-making processes”.",16
1603,UN,,"In the 2030 Agenda for Sustainable Development, Member States reaffirm in paragraph 7 their ""commitments regarding the human right to safe drinking water and sanitation"".",6
1163,paper,How to contextualize SDG 11? Looking at indicators for sustainable urban development in Germany,"Agenda 2030 pursues a universal approach and identifies countries in the Global South and in the Global North that are in need of transformation toward sustainability. Therefore, countries of the Global North such as Germany have signed the commitment to implement the Sustainable Development Goals . This article aims to analyze how global goals addressing urban developments are contextualized on a national level. Our findings demonstrate that only a few of the original targets and indicators for SDG 11 are used in the German context; thus, major adjustments have been made according to the main sustainability challenges identified for Germany. Furthermore, our results show that the current contextualization of SDG 11 and sustainable urban development in Germany are still ongoing, and more changes and commitments need to be made.",11
979,paper,Achieving SDG4 through a human rights based approach to education,"Quality education is a critical dimension for the achievement of sustainable development. The renewed political commitment set out in sustainable development goal 4 the issue of accountability: the World Bank and human rights, final reflections on a HBRA-E and SDG4.",4
1138,UN,,"While some indicators of gender equality are progressing, such as a significant decline in the prevalence of female genital mutilation and early marriage, the overall numbers continue to be high.",5
313,UN,,"At global level, forests mitigate climate change through carbon sequestration, contribute to the balance of oxygen, carbon dioxide and humidity in the air and protect watersheds, which supply 75% of freshwater worldwide.",15
312,UN,,"The fastest rise was recorded in Latin America and the Caribbean, although the highest levels were registered in sub-Saharan Africa.",2
459,UN,,"Chapter 8 of Agenda calls on countries to improve or restructure the decision-making process so that consideration of socio-economic and environmental issues is fully integrated and a broader range of public participation assured.It also calls on countries to adopt national strategies for sustainable development  that ""should build upon and harmonize the various sectoral economic, social and environmental policies and plans that are operating in the country"".",16
448,UN,,"It is not just ‘the lungs of the planet’ but also its largest carbon sink - a vital buffer against the impacts of climate change.It nurtures unimaginable biodiversity and produces food, jobs, mineral and energy resources needed for life on the planet to survive and thrive.",14
