ID	text	SDG
1556	In Austria, OMV is a major financial contributor to the Cape 10: House of the Future and Social Innovation project an innovative social and health services center for people in need in Vienna	3
1557	In 2020 it released a new research agenda that is focussed on working towards a society in which education enables full and equitable participation, with pillars on reimagining educational leadership, transforming teaching and learning, shaping digital futures, enhancing health and wellbeing, and educating for diversity and inclusion.	4
1558	Although one might think that Health & Safety improvements are only necessary in developing countries—there is still a lot of work to do in developed countries as well. But how does one develop a safety culture? In both cases, organisations can analyse accidents that occurred in the past. This can reveal which 20% of the hazards cause 80% of the accidents on the work floor—also known as a Pareto Analysis8. 	3
1559	Upgrading infrastructure and retrofitting industries through innovation, investment in infrastructure development and environmental protection, and efficiency and clean technology.	9
1560	46 By sourcing recycled or certified fiber, HP has established processes to guard against potential deforestation in our supply chain	15
1561	Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all.	8
1562	Developing and offering those type of products contribute to equality, and are a new market source for businesses, which fits the statement earlier this article.	10
1563	18 Raise the bar on sustainability and responsibility Brew a Better World 2030 means sustainability and responsibility front and centre We are brewers and doers	11
1564	Local Communities is a group of individuals belonging to the same community residing within or in the same vicinity of a particular parcel, property or natural resource. The community members are co-owners that share exclusive rights and duties, and benefits contribute to the community development. 	1
1565	CASE STUDY Aquapak We are committed to utilising partnerships and leading industry innovations to develop more sustainable packaging solutions	11
1566	4 million community contribution Total cash  59%Total in kind 34%Total volunteer time 3	11
1567	Treat 100% of wastewater of all breweries, soft drink, cider and malting plants in own or third party installations by 2023 Number of sites discharging untreated wastewater to surface water/ Number of sites discharging untreated wastewater to surface water. In view of his commitment wastewater refers to untreated wastewater discharged from a production unit or a third party wastewater treatment plant	6
1568	Tracking and reporting GHG emissions and intensity, and responding to climate change and environmental challenges through technical and social innovation.	9
1569	At the Briel and Hardy solar farm in Virginia, we developed a wildflower seeding project to create a pollinator friendly green space and enhance the floral biodiversity for the benefit of the nature conservancy adjacent to the plant and make a positive contribution to the ecosystems surrounding the solar plant	15
1570	Identifying the size, protected status, and biodiversity value of water bodies and related habitats significantly affected by the organization’s discharges of water and runoff.	14
1571	Such contaminations eventually end up in our food chain through bioaccumulation and the concentration of toxins in larger animals, which leads to poorer health for people eating these fish	14
1572	At the same time, the Agenda identifies, among its objectives, the strengthening of forest-related national institutions, the enhancement of the scope and effectiveness of activities related to the management, conservation and sustainable development of forests, as well as the sustainable utilization and production of forests' goods and services in both developed and developing countries.The Agenda also mentions the importance to improve human, technical and professional skills, as well as expertise and capabilities to effectively formulate and implement policies, plans, programmes, research and projects on management, conservation and sustainable development of all types of forests, forest-based resources and forest lands inclusive, as well as other areas from which forest benefits can be derived.	15
1573	Availability and access to data is a valuable resource for organisations. Yet it is important to consider what information you need, why you need it, who should have access to it and how long it should remain available. 	16
1574	Expanding the business’ influence on consumer choice and behavior by providing information about the sustainability of products as well as how to use and dispose of them sustainably.	15
1575	Proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments 	16
1576	Packaging business area CASE MERC AMER AND EKOSYSTEEMI RISK MANAGEMENT Proactive work on risk and risk management OptiGroup is exposed to a series of risk s, which could have a significant impact on the Groups operations and earnings	1
1577	We Achieved a CDP score of B for our water work and were recognised as one of a limited number of fashion companies to show awareness of water pollution across our whole value chain	6
1578	We are Cisco We are 79,500 employees in 95 countries US$50 billion in revenue software solutions	9
1579	OMV Security teams in Yemen initiated the installation of solar power at the permanent checkpoints and guard positions around its concession in Shabwa, Yemen	7
1580	Hazardous waste is frequently intermixed with other waste, posing particular management challenges.	12
1581	In 2020, Monash launched the expansion of its Ally Network program to provide all students, regardless of their sexual orientation, the opportunity to take part in Ally Training, which has been attended by more than 1,000 Monash staff since the program began in 2015	10
1582	Findings reveal that nearly a quarter of the respondents reported low warmth and 1 in 6 people reported anger towards Muslim, African and Middle Eastern people	10
1583	Estimation of water withdrawal by sector is the main limitation to the computation of the indicator. Few countries actually publish water use data on a regular basis by sector. 	6
1584	Female in management 16% Absence through sickness 5% including external parties	8
1585	Ending poverty requires universal social protection systems aimed at safeguarding all individuals throughout the life cycle.	1
1586	Sustainable Development Goal 13 aims to “take urgent action to combat climate change and its impact”, while acknowledging that the United Nations Framework Convention on Climate Change is the primary international, intergovernmental forum for negotiating the global response to climate change.	13
1587	Gender pay gap, Women in parliaments, Gender gap for inactivity due to caring responsibilities, Women in senior management, gender employment gap, gender pay for early school leavers, gender gap for tertiary educational attainment 	5
1588	Our data center in Odense, Denmark includes a system that reuses excess heat from data halls to warm homes in a neighboring community	12
1589	Understanding the social and economic value of ecosystems and their services and factoring in this understanding when developing corporate strategies and activities (examples of benefits delivered by ecosystem services include materials for human consumption, aesthetic values and recreation, and functions supporting ecosystem processes). Recognizing relevant ecosystems or habitats, and identify the sites, scale, risks and impacts of operational activities, products and services on biodiversity, endangered species, waterbodies and related habitats.	15
1590	The Protocol is binding only for developed countries since it identifies them as largely responsible for the current high levels of GHG emissions in the atmosphere.	13
1591	Ensuring that products and services likely to be used or consumed by children or to which children might be exposed to should be safe and do not cause mental, moral or physical harm. Restricting access to products and services that are not suitable for or harmful to children, and seeking to prevent and eliminate the risk of products and services that could be used to abuse, exploit or harm children in any way.	2
1592	Habitats Directive contributes to biodiversity conservation in the EU, and lists nine marine habitat types and 16 species for which marine site designation is required. The Birds Directive aims to conserve all naturally occurring wild birds, and lists a further 60 bird species whose conservation requires marine site protection 	14
1593	In 2018, some 773 million adults, two thirds of them women, remained illiterate in terms of reading and writing skills.	4
1594	The WBSO is a subsidy that is intended for every entrepreneur in the Netherlands who conducts research into technological innovations	9
1595	The bonus was paid to all employees subject to collective bargaining agreements as well as to team leaders at Daimler AG, Mercedes Benz AG, Daimler Truck AG, the Daimler Mobility division, and all subsidiaries in Germany	8
1596	Understanding the context and definition of child labor in each country of operation, as laws may differ. Adhering to international standards and adopting best practice where laws in countries of operation are lower than in company policy, or in other operating countries. Encouraging the same standards and policies to be set within the supply chain.	4
1597	No discrimination on the basis of gender or marital status	5
1598	Reducing soil salinity and correct soil pH.	15
1599	Chapter 2 is entirely devoted to eradication of poverty with a particular attention to the strategies to be adopted to achieve concrete results in this matter, to improve access to productive resources and infrastructure, meet the basic human needs of all and to enhance social protection and reduce vulnerability.	1
1600	The share of global services exports of developing regions has flattened in past years, amounting to a share of 30 per cent at the end of 2018.	17
1601	Many producer organizations are undertaking gender analyses of their organizations and piloting new gender equality programmes, gender committees and policies.	5
1602	The group is committed to accelerating its investments in renewable energy, digitisation and electric mobility to promote inclusive and sustainable industrialisation	9
1603	Hundreds of millions of children and young people are falling behind in their learning, which will have long-term impacts.	4
1604	We recognize that the full implementation of the Addis Ababa Action Agenda is critical for the realization of the Sustainable Development Goals and targets”.	17
1605	By 2030, increase substantially the share of renewable energy in the global energy mix 	7
1606	ISSUES BROUGHT TO NATIONAL MONITORING COMMITTEES IN 2020 OR CARRIED OVER FROM 2019% OF FEMALES AT H&M GROUP 77W want to work with partners who share our vision for a more sustainable industry	17
1607	Use waste as a resource A study from McKinsey & Company and the Ocean Conservancy estimated that certain plastics will still be recognisable after 400 years in the ocean85. This gives even more reason to find ways to reduce, re-use and recycle as much as possible. Reducing waste increases efficiency and can eventually lower costs. 	14
1608	Anti corruption and business ethics High level of ethical norms in all business contacts Opti Group has zero tolerance of corruption on and mai ntai ns high awareness and commitment to ethical business practices Diversity, equality and inclusion Engaged employees in equal and enriching work environments OptiGroup strives to be an attractive employer, where people enjoy working together to create success for the company	16
1609	Ensuring resource efficiency, resilience and sustainability in transport, buildings, information and communication technology.	9
1610	As part of the program, farmers will be educated on how to conserve water and use it for hops in the most sustainable way possible	6
1611	Livelihoods funds link private companies, NGOs, public institutions and experts such as the French Development Agency (AFD)	17
1612	In 2021, we withdrew 2,5 5 6,000 cubic meters of water overall, 2% less than in 2020	6
1613	Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol 	3
1614	We dedicated significant time during the year to overseeing CCEP s information and operational technology and cyber security programmes, from a risk and control perspective	9
1615	32 Environmental impact of crop protection products per hectar	2
1616	The provision of the basic services through digital platforms and the internet of things can especially have an impact on low-income or undeveloped countries, but also offers opportunities for vulnerable people and people in a difficult financial situation56. 	10
1617	Percentage of sites taking part in community activities (%) Number of biodiversity projects launched across Europe and North America Number of our paper mills running a biodiversity programme in their local community FY17/18FY18/19FY19/20FY20/21 43%81%100%100% FY20/21 Number of biodiversity projects FY20/21 3 Number of paper mills running biodiversity programme 	11
1618	percent for the propo tion of women on the Board of Management that the Supervisory Board had and whose deadline for achievement was December	5
1619	Reporting on the distribution of wealth within the organization to highlight internal inequality and to address the allocation of wages and remuneration.	10
1620	Protection of forest and terrestrial ecosystems is on the rise, and forest loss has slowed.	15
1621	Before the start of the COVID-19 pandemic in 2020, the average growth of the global economy had already slowed.	8
1622	HP Healthcare Print Solutions address pressing issues facing the healthcare industry, including patient wellbeing and safety, care coordination, mobility privacy, and security	9
1623	"The GA Resolution ""Keeping the Promise: united to achieve the Millennium Development Goals"" highlights the need to mobilize efforts for ensuring adequate and predictable financial and high-quality technical support, as well as for promoting the development and dissemination of appropriate, affordable and sustainable technology as well as the transfer of such technologies on mutually agreed terms, which is crucial for the achievement of the Millennium Development Goals."	17
1624	Strong partner ships Human beings can only overcome the major social and environmental challenges we face, such as climate change and increasing urbanization, by working together	17
1625	Solar energy has always been the most plentiful and sustainable source of energy available in the world	11
1626	4: Improve resource efficiency in consumption and production	12
1627	advance water stewardship within key water stressed areas where our supply chain operates	6
1628	Protecting mountain ecosystems through land remediation and rehabilitation, habitat protection and restoration, biodiversity protection in operational sites and environmental investments. In this context, working with relevant public and private stakeholders to promote the conservation of mountain ecosystems, in alignment with public policy objectives and this target.	15
1629	The mechanism will be launched at the United Nations summit for the adoption of the post-2015 development agenda in order to support the sustainable development goals.	17
1630	Eat What You Need (an alliance that promotes appropriate nutrition for cancer patients) and the Comprehensive Cancer Center of the LudwigMaximilians Universität Hospital in Munich	3
1631	SORT cycles are standardized tests for city buses	11
1632	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels 	16
1633	Strategic investments in the future of mobility Daimler acts as a n strategic investor in the growing market for urban mobility services via Daimler Mobility AG	9
1634	Globally, the incidence of tuberculosis fell from 174 new and relapse cases per 100,000 population in 2000 to 130 cases per 100,000 in 2019, a 25 per cent decline over the period, with the tuberculosis mortality rate among HIV-negative people falling by 45 per cent in the same period.	3
1635	The world is still far off target for maintaining the genetic diversity of farmed and domesticated animals, either in the field or in gene banks.	2
1636	By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations.	4
1637	Supporting fair and affordable access to goods, services and livelihood opportunities for people living in extreme poverty.	1
1638	3 percent to 7,891 million euros (2020: 7,56 5 million euros), driven by price increases and the growth of out of home activities primarily in Europe	9
1639	The Indigenous Advisory Council was established in 2020 to provide advice on matters of state and national significance to Indigenous communities and higher education, and in relation to the priorities and achievements of Monash University’s Aboriginal and Torres Strait Islander community	10
1640	Sustainability Leadership Team (SUS LT)Cross Divisional and multifunctional group with Director level membership from multiple divisions, which leads delivery of sustainability strategy	11
1641	Our brands and businesses offer a variety of products and services empowering customers to explore their individual style and embrace more sustainable habits	12
1642	We are expanding digital health management programs and activities How is digitalization affecting the health of our employees, and how can we use digital systems to promote their health and safety? Such questions are being addressed by our #DigitalHealth initiative, which includes various experts from the Health & Safety departments at the Daimler Group in Germany	3
1643	Canyon describe your sustainability work and the agenda going forward?A For OptiGroup, it is a central feature that we help our customers to minimise their operations climate impact and to continue to work for a sustainable value chain	13
1644	Our contribution to Goal 7 includes investments in companies that offer innovative energy access solutions, such as solar mini-grids and solar home systems. 	7
1645	Capturing the growth in digital commerce has been an important area of focus and investment for us	8
1646	Frieslandcampina cooperates with its suppliers in developing plans for sustainability in the procurement of agricultural raw materials	12
1647	The remuneration guidelines and tables for employees paid according to collective bargaining wage tariffs, for example at Daimler AG, can be viewed on the Social Intranet	8
1648	After a new round of internationally comparable prices were collected in 2005, the international poverty line was set based on 15 national poverty lines from some of the poorest countries in the world. These national poverty lines were converted to a common currency by using purchasing power parity (PPP) exchange rates, which are constructed to ensure that the same quantity of goods and services are priced equivalently across countries. The average of these 15 lines was $1.25 per person per day (in 2005 PPP terms), and this became the new international poverty line. 	1
1649	which is aimed at ensuring women's full and effective participation in leadership at all levels of decision making in political, economic, and social life	5
1650	7th Action Programme Nitrate DirectivebThe Ministry of Agriculture, Nature and Food Quality has published a plan (the 7th Action Programme Nitrate Directive) containing measures to improve water quality in the Netherlands	6
1651	Broaden and strengthen the participation of developing countries in the institutions of global governance.	16
1652	Enhance global support for efforts to combat poaching and trafficking of protected species, including by increasing the capacity of local communities to pursue sustainable livelihood opportunities.	15
1653	Ensuring all employees have equal access to parental leave and return to work at the same position.	10
1654	Furthermore, to facilitate our work in these areas, we have undertaken some important restructuring within our organisation to bring together the key themes of sustainability, legacy, gender equality and inclusivity, and human rights into one department of Corporate and Sustainable Development	8
1655	OMV employees are encouraged to regularly participate in compliance training covering topics that are relevant to various types of jobs	8
1656	Working to reduce food waste and food loss that occurs either through business operations or employee/consumer consumption and/or find ways to redistribute excess food. Improving efficiency along the food value chain, particularly in the food and beverage supply chain, including agriculture, raw materials, production, packaging and distribution.	2
1657	Sustainable Impact Conte nt sFootprintIntegrityand human rights OperationsProducts and solutionsAppendix Supply chain responsibility 44 202 1 HP Sustainable Impact Report Environmental impact#2 0182 01920202021 First Tier production supplier and product transportation related GHG emissions intensity, [tonnes CO2e/US$ million of HP net revenue]76	13
1658	HP was built on the values of diversity, equity, inclusion, fairness, and equality	16
1659	Stronger together The Groups three business areas offer efficient nt supply solutions from a wide product range to players i n the areas of cleaning & facility manage me nt, hotel & restaurant, health & medical care, manufacturing industry and the graphic sector	17
1660	The Integrated Travel Security Platform incorporates allOMV ventures and individual travelers, and is used to monitor all international and domestic business travel for security related events	5
1661	Recognizing the unique and important role of indigenous peoples in the global community and committing to obtaining and maintaining FPIC principles throughout the lifecycle of projects affecting them through holding effective and meaningful consultations in good faith. Applying the principles of consultation, engagement and participation to other communities.	11
1662	These risks differ by country and include topics such as discrimination, excessive working hours, harassment , road safety and working conditions of third party employees and farm workers	8
1663	Profile, activities and market sThe NetherlandsUni ted KingdomNorth AmericaGer many Construction & Real Estate Development Infrastruc t urs Energy & Telecoms Infrastructure Construction and renovation of residential and nonresidential real estate including industrial and logistic facilities Real estate development Inhouse technical installation services capabilities Industrial production and supply of construction materials, including prefabricated building supplyly lines Road construction, service and maintenance and asphalt production Railway construction, services and maintenance Civil Engineering act iv it i es for roads, water ways and rail Multidisciplinary project management capabilities for complex projects Traffic management systems for roads and railways Construction and maintenance of energy infrastructure (oil, gas and electricity) Construction and maintenance of telecoms infrastructure including fibre optic and wireless networks Segment includes Belgium	7
1664	Our global operations produced 159,500 tonnes of Scope 1 and Scope 2 CO2e emissions during 2021	13
1665	Evidence shows that when women participate in decision making processes, it is more likely that their interests and priorities are considered. Finally, only six countries have provisions in their frameworks allocating financial resources for facilitating women’s purchase of land. 	5
1666	Building traceability to assure and verify sustainability claims and ensure sustainable practices in the supply chain.	14
1667	However, the severely degraded areas should not be neglected.	15
1668	Paying fair prices to all suppliers, particularly micro, small and medium enterprises (hereafter: MSMEs) and smallholders, for their products and services, taking into account the poverty lines.	1
1669	Increasing patients independence could be a solution to some healthcare issues and this is something KPN Health is eager to contribute to	3
1670	Confirmed our biodiversity glambition committing to a net positive impact	15
1671	Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress.	17
1672	Ensuring non-discrimination in recruitment, remuneration and working status. Assessing inequality impacts across business functions and the supply chain, and taking corrective action where needed to improve the gender balance amongst employees and executive management. Explore the possibility of engaging with suppliers to address concerns and to give them time	8
1673	However, the share of modern renewable sources in total final energy consumption rose by only 2.5 percentage points in a decade, remaining below 11 per cent in 2018.	7
1674	Improve progressively, through 2030, global resource efficiency in consumption and production and endeavour to decouple economic growth from environmental degradation, in accordance with the 10-Year Framework of Programmes on Sustainable Consumption and Production, with developed countries taking the lead 	8
1675	Providing information about sexually transmitted diseases including HIV/AIDS. Encouraging workers to know their own HIV status through voluntary counselling and testing, and taking measures to reduce the transmission of HIV and alleviate its impacts in the workplace.	3
1676	New technologies make emission free regular bus operation more practical	9
1677	In 2009, the GA chose 13 October as the date to commemorate the International Day for Natural Disaster Reduction and also decided to change the Day's name to International Day for Disaster Reduction.	11
1678	The COVID-19 pandemic will have both immediate and long-term economic consequences for people across the globe. Strong social protection systems are essential for mitigating the effects and preventing many people from falling into poverty. Nevertheless, 55 per cent of the world’s population – about 4 billion people – did not benefit from any form of social protection in 2016. Only 22 per cent of unemployed workers were covered by unemployment benefits.	1
1679	Proportion of children aged 24–59 months who are developmentally on track in health, learning and psychosocial well-being, by sex.	4
1680	Engaging with educational institutions to develop or support programs for vocational training, employment skills and educational development, and improving teaching technical skills through providing innovative solutions – complementing rather than substituting government and public sector action.	4
1681	In paragraph 23 of the Johannesburg Plan of Implementation , Member States renewed the commitment, as advanced in Agenda 21, to sound management of chemicals throughout their life cycle and of hazardous wastes for sustainable development as well as for the protection of human health and the environment, inter alia, aiming to achieve, by 2020, that chemicals are used and produced in ways that lead to the minimization of significant adverse effects on human health and the environment, using transparent science-based risk assessment procedures and science-based risk management procedures, taking into account the precautionary approach, as set out in principle 15 of the Rio Declaration on Environment and Development, and support developing countries in strengthening their capacity for the sound management of chemicals and hazardous wastes by providing technical and financial assistance.	12
1682	Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms 	16
1683	Globally, women make up three quarters of medical doctors and nursing personnel.	5
1684	In 2021, the company made investments in R&D totalling 337.5 million euros, giving an accumulated investment of more than 2 billion euros in the last decade, after increasing resources in this area by 15 % compared to the previous year	9
1685	Proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments.	16
1686	Since the international community officially embraced the concept of sustainable use with the Convention on Biological Diversity in 1992, other initiatives have promoted international trade in biodiversity-based species. These initiatives nonetheless remain limited. A widespread approach based on a model of voluntary sustainability standards, which are certified by third parties, has shown phenomenal growth over the past 20 years. But many stakeholders are dissatisfied partly due to less than expected economic benefits, and others are uncertain about the environmental outcomes—as opposed to changes in management practices—for which there is only limited solid evidence. Stakeholders are currently assessing how to improve the situation. Some advocate government involvement, and others wish to leverage large corporations to make transformational changes.	15
1687	Take urgent action to end poaching and trafficking of protected species of flora and fauna and address both demand and supply of illegal wildlife products.	15
1688	For more initiatives related to SDG 14, see our efforts to employ technology to help farmers consumption in water stressed areas where we operate (SDG 6), invest in clean energy and innovative sustainable technologies (SDGs 7 and 13), reduce waste and perform life cycle assessments of our products environmental impacts (SDG 12), and achieve carbon negativity while reducing the environmental footprint of our operations products, and services (SDG 13)	14
1689	Volume of official development assistance flows for scholarships by sector and type of study 	4
1690	We deliver this through online learning and resources as well as curated content on core management and leadership skills and dedicated professional development content for functional and specialist colleagues	4
1691	Death rate due to road traffic injuries.	3
1692	The lives of European citizens depend in many ways on the services marine ecosystems provide, including climate regulation, fish and seafood provision, coastal protection, cultural value, recreation and tourism. Against this backdrop, the European Commission and Member States have taken multiple steps to combat the loss of aquatic and coastal habitats and biodiversity, which poses a serious threat to human livelihoods, food security and climate stability. A crucial step has been the designation of a network of marine protected areas (MPAs) 	14
1693	7 billion gallons of water to be saved	6
1694	"Percentage of change in water-related ecosystems over time (% change/year). The indicator would track changes over time in the extent of wetlands, forests and drylands, and in the minimum flows of rivers, volumes of freshwater in lakes and dams, and the groundwater table. The Ramsar Convention broad definition of ""wetland"" is used, which includes rivers and lakes, enabling three of the biome types mentioned in the target to be assessed - wetlands, rivers, lakes - plus other wetland types. "	6
1695	Eliminating own practices and/or helping eliminate practices in the supply chain that put marine species and resources at further risk of harm, exploitation or depletion.	14
1696	Innovation Product innovation focuses on more value articularly in the food market, and on good food	9
1697	All water stressed production sites of consolidated entities	6
1698	Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal) 	11
1699	Access to food and nutrition is another area of our focus	3
1700	See our full carbon footprint for 20192021, HP Carbon accounting manual, and HP CDP Climate Change response	13
1701	When survey data is available for a country, the regional population-weighted mean is used to derive aggregate estimates at a regional or global level, however no country point estimate is given for that country is reported. For estimating the fraction of the population relying on clean fuels and technologies for heating and lighting, the same methodology using survey data to derive country estimates for a particular year will be used using the same above mentioned assumptions. 	7
1702	The JPOI called for enhancing and accelerating human, institutional and infrastructure capacity building initiatives and for assisting developing countries in building capacity to access a larger share of multilateral and global research and development programmes.	17
1703	As the solar industry expands, the potential for decent employment rises throughout the renewable energy supply chain, and the development, construction, and operational stages of solar PV plants	8
1704	By 2020, ensure the conservation, restoration and sustainable use of terrestrial and inland freshwater ecosystems and their services, in particular forests, wetlands, mountains and drylands, in line with obligations under international agreements.	15
1705	Proportion of members and voting rights of developing countries in international organizations.	10
1706	The rights and obligations of our employees are set out in employment contracts	8
1707	Proportion of bodies of water with good ambient water quality 	6
1708	Retirement benifets 7979 Social security contributi ons8 490 Additional labor capacity 76105 Own work capitalized 116120 Other 81 Total personnel expenses 863892 Employee redundancy costs are not included in personnel expenses but in other operating expenses (see Note 18)	8
1709	Achieve higher levels of economic productivity through diversification, technological upgrading and innovation, including through a focus on high-value added and labour-intensive sectors 	8
1710	FAO is the coordinating agency for the preparation and animation of this celebration  and is mandated to lead observance of it at the global level, whereas the Watershed Management and Mountains programme of the Forestry Department is responsible for coordinating this international process.	15
1711	Complementing the other parties to provide the full depth of resources, expertise and technological innovation needed to achieve sustainable development.	17
1712	Several quality improvement programmes were introduced in the supply chain at the Company's own sites, at member dairy farmers and at suppliers	11
1713	"The 2030 Agenda for Sustainable Development acknowledges that ""progress made in the last 15 years has been uneven, particularly in Africa where some MDGs remained out of track"" and reiterates the need to focus on this continent.Under target 4.b, the Agenda highlights the necessity ""to substantially expand at global level the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrollment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes""."	10
1714	Focused innovation and digitalization Contents Report by the Board of Management GovernanceRep ort by the Supervisory Board Financial Statements Bringing innovation closer to the business Innovation is crucial to KPN future business growth	9
1715	Tackling ocean plastics Since 2016, our ambitious program in Haiti has helped to tackle the growing challenge of oceanbound plastics (O B P)	14
1716	Despite steady improvements in manufacturing output and employment, renewed investment will be needed in the least developed countries to build needed infrastructure and ensure the doubling of industry’s share of GDP in those countries by 2030.	9
1717	Agreements may be interstate, intergovernmental, interministerial or interagency. In addition to an agreement (e.g. a treaty, convention, Memorandum of Understanding), such framework can be provided by a bilateral or multilateral commission or other appropriate institutional arrangements for cooperation. Furthermore, multisectoral cooperation institutions can cover for water issues. 	6
1718	Prevalence of anaemia in women aged 15 to 49 years, by pregnancy status (percentage) 	2
1719	After reaching its lowest level of 1.1 per cent in 2011, the average tariff applied by developed countries to imports from developing and least developed countries in 2019 has remained unchanged owing to a lack of new commitments by developed countries.	17
1720	Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18 	5
1721	This Year, we attended COP26 to advocate for global carbon pricing and industry collaboration through retailer platforms (The Consumer Goods Forum, Carrefour food transition pact , etc	17
1722	At the same time recognizes the existing linkages among poverty eradication, full and productive employment and decent work for all and urges all governments to address the global challenge of youth employment.	8
1723	OptiGroup conducts continuous activities to increase employee commitment and act on the basis of the results of satisfaction surveys	8
1724	In the Future We Want, Member States reaffirm that climate change is one of the greatest challenges of the present and express their concern about the continuous rising of the emissions of greenhouse gases and about the vulnerability of all countries, particularly developing countries,to the adverse impacts of climate change.	13
1725	The High-level Advisory Group on Sustainable Transport was established in 2014 by the UN SG Mr Ban Ki-moon.	11
1726	Associated with this issue, one of the newly specified direct paths suggests there is a positive relationship between the communication of expectation and cooperation. This direct path was identified as most significant in the model. Communication was hypothesized to be mediated through trust. However, more specifically, when referring to the communication of expectations, trust as a mediating variable may not be needed. The scales that contributed to the communication of expectations were associated with formal written agreements and the explicit articulation of the expectations of the parties involved. When the roles and responsibilities are clearly defined trust may not be needed as a mediating factor. Within the case study, written agreements were not deemed as necessary between partners who already had a pre-existing relationship. However, when the large financial investment was required a formal written agreement was deemed essential. As previously stated, cooperation is related to the interdependence between parties, which is aligned with the management of expectations, through a willingness to share tangible and intangible resources.	17
1727	Listening to our employees We treat people fairly and employ, reward and promote, based on the principle of equal opportunity	8
1728	However, progress is being made in regulations to promote public access to information, albeit slowly, and in strengthening institutions upholding human rights at the national level.	16
1729	By 2030, ensure that all learners acquire the knowledge and skills needed to promote sustainable development, including, among others, through education for sustainable development and sustainable lifestyles, human rights, gender equality, promotion of a culture of peace and non-violence, global citizenship and appreciation of cultural diversity and of culture’s contribution to sustainable development.	4
1730	Shari Slate Derek Idemoto INTRO INCLUSIVE Investing in the Black community to drive lasting, systemic, and generational change for the disenfranchise this community and create economic disparities	10
1731	Adopting and developing comprehensive and coordinated corporate policies and programs on vocational guidance and vocational training.	4
1732	Human rights Supply chain responsibility Human Rights Policy Labor Principle 3: Businesses should uphold the freedom of association and the effective recognition of the right to collective bargaining;Human rights Supply chain responsibility Human Rights Policy Principle 4: the elimination of all forms of forced and compulsory labor; Human rights Supply chain responsibility Human Rights Policy Principle 5: the effective abolition of child labor; and Human rights Supply chain responsibility Human Rights Policy Principle 6: the elimination of discrimination in respect of employment and occupation	8
1733	A total of 80 countries reported disaster-related losses for 2018, including 23,458 deaths and 2,164 persons missing.	1
1734	The indicator is based on the main type of fuel and technology used for cooking as cooking occupies the largest share of overall household energy needs. However, many households use more than one type of fuel and stove for cooking and, depending on climatic and geographical conditions, heating with polluting fuels can also be a contributor to household (indoor) air pollution levels. In addition, lighting with kerosene, a very polluting and hazardous fuel is also often used, and in some countries is the main fuel used for cooking. 	7
1735	35% of our value chain carbon footprint is based on estimated emissions	13
1736	The overall external economic circumstances affect the financial position; pressure on profits may lead to an unfavourable development of the financial position of the Company, related credit ratings and inc released cost of capital with fewer investment opportunities and/or growth	8
1737	By 2030, enhance inclusive and sustainable urbanization and capacity for participatory, integrated and sustainable human settlement planning and management in all countries 	11
1738	Increasing likelihood of water stress Competition for limited water resources could increase in the long term in river basins	6
1739	Rehabilitation of industrial water distribution system at Suplasyn 2019, we continued to rehabilitate the industrial water distribution system in four parks (16, 24, 31,and 49) at our Upstream Suplac site Romania	6
1740	In November 2019, also in Romania, 50 colleagues from PetroMed doctors and nurses voluntarily joined the Medical Doctors Caravan association	3
1741	How do you see the role of zero alcohol beer in driving responsible consumption?	3
1742	By 2030, ensure that all learners acquire the knowledge and skills needed to promote sustainable development, including, among others, through education for sustainable development and sustainable lifestyles, human rights, gender equality, promotion of a culture of peace and non-violence, global citizenship and appreciation of cultural diversity and of culture's contribution to sustainable development 	4
1743	Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities.	11
1744	a charity in Belgium committed to collecting laptops for secondary education	4
1745	Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities.	11
1746	In 2020, 75 units directly related to SDG4 were offered across Monash University, with a total enrolment of 5,804 students. In total 453 units were offered by the Faculty of Education.	4
1747	In this context, working with the public sector to strengthen government efforts to promote sustainable inclusive markets and developing solutions to development challenges in developing countries.	8
1748	The challenges Microsoft faces when bringing innovation and technological advancements in fact connected with the level of digital skills and capabilities of employees across government partners	8
1749	Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated, by cities 	11
1750	Assessing the procurement process to identify products which comply with internationally recognized responsible production standards.	2
